id,x,y,yaw
0,-41.4164,10.903,2.43549
1,-42.5844,12.0047,2.43726
2,-43.9309,13.0652,2.43847
3,-45.1637,14.2113,2.43729
4,-46.2921,15.2718,2.4365
5,-47.6651,16.3667,2.4366
6,-48.9702,17.6406,2.43251
7,-50.3041,18.8457,2.43198
8,-51.808,20.157,2.43547
9,-53.131,21.2963,2.43568
10,-54.6039,22.5372,2.43714
11,-56.0696,23.7727,2.43723
12,-57.4915,25.0154,2.43865
13,-58.8646,26.326,2.44127
14,-60.4535,27.5545,2.44465
15,-61.9779,28.9345,2.45179
16,-63.1098,29.906,2.45182
17,-64.9414,31.2663,2.45054
18,-66.5348,32.7108,2.45661
19,-67.9245,34.0919,2.45429
20,-69.2532,35.0042,2.45499
21,-70.833,36.5159,2.45288
22,-72.2799,37.5771,2.45611
23,-73.8352,38.8692,2.45733
24,-75.2533,40.0513,2.45657
25,-76.7118,41.415,2.45553
26,-78.1454,42.4698,2.45357
27,-79.6854,43.8087,2.45122
28,-81.1981,45.1545,2.45034
29,-82.6131,46.4388,2.44834
30,-84.2638,47.7687,2.45079
31,-85.8052,49.1047,2.44647
32,-87.4347,50.3893,2.44337
33,-88.9266,51.4711,2.4379
34,-90.3372,52.8175,2.43943
35,-91.7551,54.2445,2.43915
36,-93.4348,55.5467,2.43926
37,-94.8191,56.7456,2.43777
38,-96.2891,57.9195,2.43364
39,-97.7041,59.217,2.43361
40,-99.2376,60.6268,2.43055
41,-100.658,61.9595,2.43092
42,-101.988,63.2513,2.42904
43,-103.481,64.6108,2.42802
44,-104.927,65.8857,2.42713
45,-106.352,67.0819,2.43012
46,-107.695,68.4292,2.43018
47,-109.17,69.7057,2.43101
48,-110.67,70.8983,2.43349
49,-112.033,72.2309,2.43554
50,-113.464,73.4408,2.43472
51,-115.036,74.7713,2.43534
52,-116.355,75.7547,2.433
53,-117.751,77.1501,2.43129
54,-119.051,78.1964,2.42997
55,-120.467,79.5554,2.43014
56,-121.714,80.7057,2.42823
57,-123.113,81.9857,2.42835
58,-124.508,83.245,2.43296
59,-125.865,84.5313,2.43319
60,-127.169,85.6276,2.43207
61,-128.66,86.9723,2.42963
62,-129.993,88.1672,2.43104
63,-131.304,89.4814,2.42849
64,-132.782,90.7072,2.42856
65,-134.032,91.9564,2.43063
66,-135.434,93.1291,2.4317
67,-136.859,94.3528,2.43055
68,-138.269,95.64,2.42926
69,-139.664,96.8733,2.43028
70,-141.148,98.228,2.43291
71,-142.45,99.5808,2.43778
72,-143.851,100.782,2.43462
73,-145.205,101.95,2.43082
74,-146.475,103.176,2.42898
75,-148.008,104.507,2.42749
76,-149.122,105.425,2.43062
77,-150.538,106.737,2.42877
78,-152.015,108.044,2.43319
79,-153.403,109.318,2.43435
80,-154.754,110.505,2.43519
81,-156.113,111.796,2.43794
82,-157.553,113.127,2.44108
83,-158.864,114.463,2.44201
84,-160.412,115.59,2.44099
85,-161.855,116.913,2.44164
86,-163.271,118.229,2.43842
